,Request #,Date / Time Opened,Contact Type,Preferred Language,Closed When Created,Address,City,Council District,ZIP,Latitude,Longitude,Mapped Location
3775,365023,05/12/2020 02:53:53 PM,,,False,736 Thompson Ln,NASHVILLE,17.0,37204.0,36.11266129999999,-86.7678694,"(36.1126613, -86.7678694)"
3776,366492,05/13/2020 03:10:08 PM,,,False,2241 Murfreesboro Pike,NASHVILLE,28.0,37217.0,36.08814,-86.64986999999999,"(36.08814, -86.64987)"
3777,366657,05/13/2020 04:41:45 PM,,,False,25 Vantage Way,NASHVILLE,2.0,37228.0,36.190690000000004,-86.79319,"(36.19069, -86.79319)"
3778,366890,05/13/2020 07:23:59 PM,,,False,2032 Rosa L Parks Blvd,NASHVILLE,2.0,37228.0,36.1891267,-86.79846040000002,"(36.1891267, -86.79846040000001)"
3779,457064,09/02/2020 06:32:55 PM,,,False,115 E Park Dr,GOODLETTSVILLE,10.0,37072.0,36.03542,-86.79261,"(36.03542, -86.79261)"
3780,367135,05/13/2020 10:24:00 PM,,,False,2 Dell Pkwy,NASHVILLE,13.0,37217.0,36.10680281158302,-86.68026090674591,"(36.10680281158302, -86.6802609067459)"
3781,390951,06/12/2020 04:56:52 PM,,,False,6217 Charlotte Pike,NASHVILLE,20.0,37209.0,36.14549,-86.87053,"(36.14549, -86.87053)"
3782,365014,05/12/2020 02:50:36 PM,,,False,7601 Hwy 70 S,NASHVILLE,22.0,37221.0,36.076970700000004,-86.9466194,"(36.0769707, -86.9466194)"
3783,366845,05/13/2020 06:36:31 PM,,,False,323 Opry Mills Dr,NASHVILLE,15.0,37214.0,36.200692100000005,-86.69050899999998,"(36.2006921, -86.69050899999999)"
3784,366148,05/12/2020 09:28:19 PM,,,False,701 McGavock Pk,NASHVILLE,15.0,37214.0,36.15267531950883,-86.6831416077912,"(36.15267531950883, -86.68314160779119)"
3785,366348,05/13/2020 01:38:00 PM,,,False,5770 Old Hickory Blvd,HERMITAGE,12.0,37076.0,36.17175661161063,-86.60123199325407,"(36.171756611610625, -86.60123199325407)"
3786,366048,05/12/2020 08:20:50 PM,,,False,10 Quality Way,NASHVILLE,2.0,37207.0,36.214954999999996,-86.770698,"(36.214955, -86.770698)"
3787,366705,05/13/2020 05:06:30 PM,,,False,5333 Hickory Hollow Ln,ANTIOCH,32.0,37013.0,36.047501800000006,-86.6542245,"(36.04750180000001, -86.6542245)"
3788,365374,05/12/2020 05:37:47 PM,,,False,4744 Lebanon Rd,HERMITAGE,11.0,37076.0,36.21544,-86.59519,"(36.21544, -86.59519)"
3789,373028,05/20/2020 06:08:19 PM,,,False,2713 Nolensville Pike,NASHVILLE,16.0,37211.0,36.113476011585824,-86.74713445,"(36.11347601158582, -86.74713445)"
3790,364844,05/12/2020 12:46:23 PM,,,False,907 Rivergate Pkwy,GOODLETTSVILLE,10.0,37072.0,36.299007200000005,-86.7016343,"(36.2990072, -86.7016343)"
3791,364899,05/12/2020 01:51:44 PM,,,False,7129 Bakers Bridge Ave,,,,35.96253501152185,-86.81719680674591,"(35.96253501152185, -86.81719680674591)"
3792,366296,05/13/2020 12:41:44 PM,,,False,5770 Old Hickory Blvd,HERMITAGE,12.0,37076.0,36.17175661161063,-86.60123199325407,"(36.171756611610625, -86.60123199325407)"
3793,373089,05/20/2020 06:51:49 PM,,,False,551 Donelson Pike,NASHVILLE,15.0,37214.0,36.145087700000005,-86.6661778,"(36.1450877, -86.6661778)"
3794,366355,05/13/2020 01:40:54 PM,,,False,2421 Powell Ave,NASHVILLE,16.0,37204.0,36.11097,-86.76945,"(36.11097, -86.76945)"
